&SECTION1
CENTER=85            !<-Identification of Originating/Generating center (See commom code table C1 and C11 )  
SUBCENTER=0                           !<-Sub-center of generating center (See common code C12)
/
! Note: space    <- Missing value

!-------------------------
! Location identification 
!-------------------------
&STATION_ID
LATITUDE=46.4598
LONGITUDE=-56.1075
WIGOS=0-20000-0-71805 ! SAINT-PIERRE
WMO=71805
HTEMP=2                  ! Hight of temperature sensor
HA= 21                       ! 007030-HEIGHT OF STATION GROUND ABOVE MEAN SEA LEVEL
SMC_TEMP=             ! 008095-SITING AND MEASUREMENT QUALITY CLASSFICATION FOR TEMPERATURE
SMC_PREC=             ! 008096-SITING AND MEASUREMENT QUALITY CLASSIFICATION FOR PRECIPITATION
METHOD_TM=3        ! 008094-Method used to calculate the average daily temperature
TIME_OFFSET=-240 ! Time difference in minutes:  Local Meteorological Time Zone - UTC (LMTZ-UTC)
                                  ! Use 0 in case of the use of UTC values
/ 

!----------------------------------------------------------------------------------
! Note: In this text file, Each parameter is identified by the followed Acronyms:
! parameter = name, unit, scale
!  rr = Total Acumulate Precipitation, Kg m-2 (= mm), 1
!  fsd = Fresh snow depth, m, 2
!  tsd= Total snow depth, m, 2
!  tn = Minimum temperature, K, 2
!  tx = Maximum temperature, K, 2
!  tm = Mean temperature, K, 2
!  The quality flag for each respective parameter above are identified by:
!  qrr, qfsd, qtsd,qtn,qtx,qtm
!
!  The value of quality flag are:
!   0 = Data checked and declared good;
!   1 = Data checked and declared suspect;
!   2 = Data checked and declared aggregated;
!   3 = Data checked and declared out of instrument range;
!   4 = Data checked, declared aggregated, and out of instrument range;
!   5 = Parameter is not measured at the station;
!   6 = Daily value not provided;
!   7 = Data unchecked,
!   8-254 = Reserved;
!---------------------------------------------------------------------------------
&DATA_SECTION
!rdate= Reference date and time in LMTZ / Attribution Day
!intertval = time interval for next variable
!date;interval;tsd;qtsd;interval;rr;qrr;interval;fsd;qfsd;interval;tx;qtx;interval;tn;qtn;interval;tm;qtm 

20220401;20220401T0601;0;7;20220401T0601-20220402T0600;15.5;0;20220401T0601-20220402T0600;0;7;20220401T0601-20220402T0600;278.95;0;20200331T1801-20220401T1800;273.35;0;20220401T0001-20220402T0000;275.05;0
20220402;20220402T0601;0;7;20220402T0601-20220403T0600;1.9;0;20220402T0601-20220403T0600;1;7;20220402T0601-20220403T0600;277.65;0;20220401T1801-20220402T1800;274.05;0;20220402T0001-20220403T0000;275.85;0
20220403;20220403T0601;0;7;20220403T0601-20220404T0600;0.0;0;20220403T0601-20220404T0600;1;7;20220403T0601-20220404T0600;276.65;0;20220402T1801-20220403T1800;273.35;0;20220403T0001-20220404T0000;274.45;0
20220404;20220404T0601;0;7;20220404T0601-20220405T0600;23.6;0;20220404T0601-20220405T0600;0;7;20220404T0601-20220405T0600;278.35;0;20220403T1801-20220404T1800;271.75;0;20220404T0001-20220405T0000;275.15;0
20220405;20220405T0601;0;7;20220405T0601-20220606T0600;0.6;0;20220405T0601-20220406T0600;1;7;20220405T0601-20220406T0600;277.15;0;20220404T1801-20220405T1800;273.45;0;20220405T0001-20220406T0000;274.75;0
20220406;20220406T0601;0;7;20220406T0601-20220407T0600;0.0;0;20220406T0601-20220407T0600;1;7;20220406T0601-20220407T0600;278.25;0;20220405T1801-20220406T1800;272.85;0;20220406T0001-20220407T0000;274.95;0
20220407;20220407T0601;;6;20220407T0601-20220408T0600;0.0;0;20220407T0601-20220408T0600;0;7;20220407T0601-20220408T0600;282.25;0;20220406T1801-20220407T1800;274.15;0;20220407T0001-20220408T0000;277.35;0
20220408;20220408T0601;0;7;20220408T0601-20220409T0600;0.0;0;20220408T0601-20220409T0600;0;7;20220408T0601-20220409T0600;279.85;0;20220407T1801-20220408T1800;273.65;0;20220408T0001-20220409T0000;275.95;0
20220409;20220409T0601;0;7;20220409T0601-20220410T0600;35.2;0;20220409T0601-20220410T0600;0;7;20220409T0601-20220410T0600;278.15;0;20220408T1801-20220409T1800;273.25;0;20220409T0001-20220410T0000;275.05;0
20220410;20220410T0601;0;7;20220410T0601-20220411T0600;9.1;0;20220410T0601-20220411T0600;0;7;20220410T0601-20220411T0600;280.05;0;20220409T1801-20220410T1800;275.25;0;20220410T0001-20220411T0000;276.85;0
